cod_insersao;descricao_kit;cod_kit;cod_sku;descricao_sku;segmento;serie;volume;envio;frequencia;usuario;info_produto;tipo_material;classificacao_produto;personalizacao
82101010101;SAE ALUNO INF 1 ANO SAE 1O VOL;82101010101;PG25LA116SD00;25 LV ALUNO INF 1 ANO 1O VOL SAE;INF;INF I;Volume 01;V1;Semestral;Aluno;Integrado;Livro;Livro;SAE
82101010101;SAE ALUNO INF 1 ANO SAE 1O VOL;82101010101;PG22MA115SD00;22 BOLSA ALUNO INF 1 ANO ANUAL SAE;INF;INF I;Volume 01;V1;Anual;Aluno;Integrado;Sacola;Não gráficos;SAE
82101010101;SAE ALUNO INF 1 ANO SAE 1O VOL;82101010101;PG25SA115SD00;25 ELEMENTOS MONTAVEIS ALUNO INF 1 ANO ANUAL;INF;INF I;Volume único;V1;Anual;Aluno;Cesta;Elementos montaveis;Não editorial;SAE
82101010101;SAE ALUNO INF 1 ANO SAE 1O VOL;82101010101;PG25TA115SD00;25 TRILHA DE MEMORIAS ALUNO INF 1 ANO ANUAL SAE;INF;INF I;Volume único;V1;Anual;Aluno;Trilha de memórias;Trilha de memórias;Não editorial;SAE
82101010101;SAE ALUNO INF 1 ANO SAE 1O VOL;82101010101;PG22BA115SD00;22 DATAS COMEMORATIVAS ALUNO INF 1 ANO ANUAL;INF;INF I;Volume único;V1;Anual;Aluno;Datas comemorativas;Datas comemorativas;Não editorial;SAE
82101010201;CELLULA MATER ALUNO INF 1 ANO 1O VOL;82101010201;PG25LA116ZU00;25 LV ALUNO INF 1 ANO 1O VOL CELLULA MATER;INF;INF I;Volume 01;V1;Semestral;Aluno;Integrado;Livro;Livro;CELLULA MATER
82101010201;CELLULA MATER ALUNO INF 1 ANO 1O VOL;82101010201;PG22MA115SD00;22 BOLSA ALUNO INF 1 ANO ANUAL SAE;INF;INF I;Volume 01;V1;Anual;Aluno;Integrado;Sacola;Não gráficos;CELLULA MATER
82101010201;CELLULA MATER ALUNO INF 1 ANO 1O VOL;82101010201;PG25SA115SD00;25 ELEMENTOS MONTAVEIS ALUNO INF 1 ANO ANUAL;INF;INF I;Volume único;V1;Anual;Aluno;Cesta;Elementos montaveis;Não editorial;CELLULA MATER
82101010201;CELLULA MATER ALUNO INF 1 ANO 1O VOL;82101010201;PG25TA115SD00;25 TRILHA DE MEMORIAS ALUNO INF 1 ANO ANUAL SAE;INF;INF I;Volume único;V1;Anual;Aluno;Trilha de memórias;Trilha de memórias;Não editorial;CELLULA MATER
82101010201;CELLULA MATER ALUNO INF 1 ANO 1O VOL;82101010201;PG22BA115SD00;22 DATAS COMEMORATIVAS ALUNO INF 1 ANO ANUAL;INF;INF I;Volume único;V1;Anual;Aluno;Datas comemorativas;Datas comemorativas;Não editorial;CELLULA MATER
82101010301;REDE VIVO ALUNO INF 1 ANO 1O VOL;82101010301;PG25LA116RV00;25 LV ALUNO INF 1 ANO 1O VOL REDE VIVO;INF;INF I;Volume 01;V1;Semestral;Aluno;Integrado;livro;Livro;REDE VIVO
82101010301;REDE VIVO ALUNO INF 1 ANO 1O VOL;82101010301;PG22MA115SD00;22 BOLSA ALUNO INF 1 ANO ANUAL SAE;INF;INF I;Volume 01;V1;Anual;Aluno;Integrado;Sacola;Não gráficos;REDE VIVO
82101010301;REDE VIVO ALUNO INF 1 ANO 1O VOL;82101010301;PG25SA115SD00;25 ELEMENTOS MONTAVEIS ALUNO INF 1 ANO ANUAL;INF;INF I;Volume único;V1;Anual;Aluno;Cesta;Elementos montaveis;Não editorial;REDE VIVO
82101010301;REDE VIVO ALUNO INF 1 ANO 1O VOL;82101010301;PG25TA115SD00;25 TRILHA DE MEMORIAS ALUNO INF 1 ANO ANUAL SAE;INF;INF I;Volume único;V1;Anual;Aluno;Trilha de memórias;Trilha de memórias;Não editorial;REDE VIVO
82101010301;REDE VIVO ALUNO INF 1 ANO 1O VOL;82101010301;PG22BA115SD00;22 DATAS COMEMORATIVAS ALUNO INF 1 ANO ANUAL;INF;INF I;Volume único;V1;Anual;Aluno;Datas comemorativas;Datas comemorativas;Não editorial;REDE VIVO
82101010401;SECULO ALUNO INF 1 ANO 1O VOL;82101010401;PG25LA116SE00;25 LV ALUNO INF 1 ANO 1O VOL SECULO;INF;INF I;Volume 01;V1;Semestral;Aluno;Integrado;Livro;Livro;SECULO
82101010401;SECULO ALUNO INF 1 ANO 1O VOL;82101010401;PG22MA115SD00;22 BOLSA ALUNO INF 1 ANO ANUAL SAE;INF;INF I;Volume 01;V1;Anual;Aluno;Integrado;Sacola;Não gráficos;SECULO
82101010401;SECULO ALUNO INF 1 ANO 1O VOL;82101010401;PG25SA115SD00;25 ELEMENTOS MONTAVEIS ALUNO INF 1 ANO ANUAL;INF;INF I;Volume único;V1;Anual;Aluno;Cesta;Elementos montaveis;Não editorial;SECULO
82101010401;SECULO ALUNO INF 1 ANO 1O VOL;82101010401;PG25TA115SD00;25 TRILHA DE MEMORIAS ALUNO INF 1 ANO ANUAL SAE;INF;INF I;Volume único;V1;Anual;Aluno;Trilha de memórias;Trilha de memórias;Não editorial;SECULO
82101010401;SECULO ALUNO INF 1 ANO 1O VOL;82101010401;PG22BA115SD00;22 DATAS COMEMORATIVAS ALUNO INF 1 ANO ANUAL;INF;INF I;Volume único;V1;Anual;Aluno;Datas comemorativas;Datas comemorativas;Não editorial;SECULO
PG22LA115SDI0;22 LV ALUNO INF 1 ANO ANUAL SAE INGLES;;PG22LA115SDI0;22 LV ALUNO INF 1 ANO ANUAL SAE INGLES;INF;INF I;Volume único;V1;Anual;Aluno;Língua Inglesa;Livro;Livro;SAE
82101020101;SAE ALUNO INF 2 ANOS SAE 1O VOL;82101020101;PG25LA126SD00;25 LV ALUNO INF 2 ANOS 1O VOL SAE;INF;INF II;Volume 01;V1;Semestral;Aluno;Integrado;Livro;Livro;SAE
82101020101;SAE ALUNO INF 2 ANOS SAE 1O VOL;82101020101;PG22MA125SD00;22 BOLSA ALUNO INF 2 ANOS ANUAL SAE;INF;INF II;Volume 01;V1;Anual;Aluno;Integrado;Sacola;Não gráficos;SAE
